Days,Datetime,Container,CPU %,MemUsage / Limit,Mem %, Block I/O
65,02/12/19-03:29:33,mongo,35.10%,3.484GiB / 7.696GiB,45.26%,22GB / 73.9GB
65,02/12/19-03:30:06,mongo,24.24%,3.483GiB / 7.696GiB,45.25%,22.4GB / 73.9GB
65,02/12/19-03:30:40,mongo,64.38%,3.479GiB / 7.696GiB,45.20%,22.7GB / 73.9GB
65,02/12/19-03:31:12,mongo,99.16%,3.475GiB / 7.696GiB,45.15%,22.8GB / 73.9GB
65,02/12/19-03:31:44,mongo,39.84%,3.471GiB / 7.696GiB,45.10%,22.9GB / 73.9GB
65,02/12/19-03:32:17,mongo,94.11%,3.466GiB / 7.696GiB,45.04%,22.9GB / 73.9GB
65,02/12/19-03:32:49,mongo,35.00%,3.465GiB / 7.696GiB,45.02%,22.9GB / 73.9GB
65,02/12/19-03:33:21,mongo,36.10%,3.461GiB / 7.696GiB,44.97%,23GB / 73.9GB
65,02/12/19-03:33:53,mongo,85.24%,3.456GiB / 7.696GiB,44.90%,23GB / 73.9GB
65,02/12/19-03:34:25,mongo,27.62%,3.454GiB / 7.696GiB,44.88%,23.2GB / 73.9GB
65,02/12/19-03:34:58,mongo,29.00%,3.453GiB / 7.696GiB,44.87%,23.2GB / 73.9GB
65,02/12/19-03:35:30,mongo,31.44%,3.449GiB / 7.696GiB,44.81%,23.3GB / 73.9GB
65,02/12/19-03:36:03,mongo,36.39%,3.445GiB / 7.696GiB,44.76%,23.4GB / 73.9GB
65,02/12/19-03:36:35,mongo,55.94%,3.44GiB / 7.696GiB,44.70%,23.4GB / 73.9GB
