Days,Datetime,Container,CPU %,MemUsage / Limit,Mem %, Block I/O
13,01/12/19-19:37:51,mongo,19.44%,3.513GiB / 7.696GiB,45.64%,6.94GB / 47.3GB
14,01/12/19-19:38:17,mongo,15.35%,3.481GiB / 7.696GiB,45.23%,6.94GB / 47.3GB
14,01/12/19-19:38:49,mongo,22.48%,3.481GiB / 7.696GiB,45.23%,6.94GB / 47.5GB
14,01/12/19-19:39:21,mongo,27.29%,3.496GiB / 7.696GiB,45.43%,6.94GB / 47.5GB
15,01/12/19-19:39:52,mongo,14.72%,3.496GiB / 7.696GiB,45.43%,6.94GB / 47.5GB
15,01/12/19-19:40:24,mongo,40.77%,3.5GiB / 7.696GiB,45.47%,6.94GB / 47.6GB
15,01/12/19-19:40:56,mongo,25.01%,3.499GiB / 7.696GiB,45.46%,6.94GB / 47.8GB
15,01/12/19-19:41:28,16,01/12/19-19:41:29,mongo,15.84%,3.511GiB / 7.696GiB,45.62%,6.94GB / 47.8GB
mongo,15.31%,3.511GiB / 7.696GiB,45.62%,6.94GB / 47.8GB
16,01/12/19-19:42:02,mongo,22.46%,3.512GiB / 7.696GiB,45.64%,6.94GB / 47.9GB
16,01/12/19-19:42:34,mongo,14.23%,3.512GiB / 7.696GiB,45.64%,6.94GB / 48GB
16,01/12/19-19:43:06,mongo,15.74%,3.511GiB / 7.696GiB,45.62%,6.94GB / 48GB
17,01/12/19-19:43:11,mongo,16.76%,3.511GiB / 7.696GiB,45.62%,6.94GB / 48GB
17,01/12/19-19:43:44,mongo,15.23%,3.511GiB / 7.696GiB,45.61%,6.94GB / 48.1GB
17,01/12/19-19:44:16,mongo,13.34%,3.51GiB / 7.696GiB,45.60%,6.94GB / 48.2GB
17,01/12/19-19:44:48,mongo,16.44%,3.511GiB / 7.696GiB,45.62%,6.94GB / 48.2GB
